iso3,built_up_land_EFProdPerCap,population,g_built,g_pop
ALB,0.039772281,2890000.0,1.6793190594964018,0.7141162514827996
ARG,0.105008823,42980000.0,1.2489759024274907,1.0512575764806948
ARM,0.061555927,3006000.0,0.8282926273201525,-0.1284430269643375
AUS,0.063370027,23622000.0,1.6247880537360198,1.2507860886136255
AUT,0.151161595,8517000.0,0.7831162215245858,0.19856459330143542
AZE,0.046346409,9630000.0,0.5434492652895324,0.22643912379011716
BEL,0.190681115,11226000.0,0.8614737832797388,0.23092105263157894
BGD,0.078248622,159078000.0,1.7746866534618806,1.3951397985455531
BGR,0.160412924,7201000.0,0.0,-0.09250157529930687
BLR,0.080584021,9500000.0,0.390091039519724,-0.0718124084025403
BOL,0.064734735,10562000.0,2.3131098967171444,1.80531208499336
CAN,0.062374002,35588000.0,2.7684295465795308,0.9451246174027109
CHL,0.108311411,17763000.0,3.117133487618978,1.2559055118110236
CHN,0.122479064,1400602000.0,2.3770469781485084,1.0939197775418978
COL,0.100967946,47791000.0,2.771935904700065,1.814215051230715
CZE,0.152414316,10543000.0,0.390117142577608,0.019829754304507643
DEU,0.156701515,80646000.0,1.560862048757427,0.09445484895366826
DNK,0.214075999,5647000.0,0.7209156641832057,0.22388383181621152
ESP,0.038755653,46260000.0,1.684912797053525,0.503070474705137
EST,0.073213584,1316000.0,0.8809623633000252,-0.13477975016436555
ETH,0.071613153,96959000.0,1.366505928032968,0.8130633157560119
FRA,0.164222481,64159000.0,1.7243228035860785,0.37994149782767667
GBR,0.15563516,64331000.0,1.2899659338582123,0.21917522647159154
GIN,0.04312685,12276000.0,2.609524685537052,2.3780957622454597
GRC,0.057068144,11001000.0,0.7060137490585904,0.3149653358833373
GUY,0.070200824,764000.0,0.5394697089096508,0.3127147766323024
HRV,0.066924029,4256000.0,0.48220758117266743,-0.10078174519332347
HUN,0.17978923,9890000.0,0.0,-0.01405642508224504
IDN,0.062521244,254455000.0,2.1716967311526614,1.8229492555858795
IND,0.049985506,1295292000.0,1.8856343222190726,1.82388797687332
IRL,0.101228202,4675000.0,1.164878288179824,0.6221374045801527
ITA,0.049013711,59821000.0,0.4116543650442666,0.19441338551233928
LAO,0.146023672,6689000.0,2.672760582878253,2.083909635776856
LTU,0.099140443,2917000.0,1.1449430456774332,-0.20969926849092388
LVA,0.056018587,1989000.0,1.1587704748281862,-0.23822290310225966
MDA,0.055023732,4072000.0,0.2095525218602667,-0.06925714285714285
MLT,0.050797607,418000.0,0.9078553711400448,0.33974358974358976
MMR,0.119043048,53437000.0,4.483308166833854,1.4331572716510337
MNE,0.020571218,625000.0,1.327245143846232,0.012965964343598054
NER,0.041633506,19114000.0,5.375956810703477,4.4705208929593585
NZL,0.086922711,4465000.0,10.865268022885111,0.841996699669967
PAK,0.042505098,185044000.0,3.2058657963316777,3.023745324867357
POL,0.088710762,38620000.0,0.7004622798592601,0.28143871524321457
PRY,0.123533305,6553000.0,2.9567333035798877,2.355350742447517
ROU,0.159545909,19652000.0,0.9868590839073289,0.04643237486687966
RUS,0.037207863,143429000.0,0.04813772188252747,-0.03298903736465258
SCG,0.087708807,9803000.0,0.26602498587917645,-0.0500968992248062
SDN,0.038348491,39350000.0,0.8611864741989849,0.06587572457879626
SGP,0.042258644,5507000.0,1.7565826775639322,1.5123175182481752
SRB,0.064315749,8893000.0,0.06148990979066526,-0.02861824139814309
SUR,0.095743393,538000.0,0.4292004715806301,0.11850311850311851
SVK,0.125234131,5423000.0,0.27584641997210924,0.016494845360824743
SVN,0.024921849,2066000.0,0.11684069924456622,0.02991026919242273
SWE,0.140698795,9703000.0,0.5015511358846045,0.289092599973429
THA,0.069450788,67726000.0,1.5457587334295713,1.3995890022675737
TUN,0.02675763,11130000.0,1.9333032084036714,1.6274787535410764
UKR,0.083908296,45002000.0,0.0,-0.12300736641072611
USA,0.083459448,319449000.0,1.216373558663834,0.6895180270471818
UZB,0.080183451,29470000.0,0.5843751333758028,0.37607396339185656
VNM,0.112355596,92423000.0,2.5180945834030424,1.7452104434609559
